degree,cv_mean_error,cv_std_error
1,536984.8317388201,511691.26611877116
2,313694.30481153564,173971.46336063487
3,1574822.8859452293,2249428.3942568363
4,861645.003445815,1491482.6954732512
5,275747.6105262016,466364.1695998817
6,347890.7733898012,660038.1035468039
7,9206778.335976992,18286303.728714865
8,82343759.6367692,122428853.88219342
9,392716195.83847964,665175950.4525229
10,29043369981.910755,56729269754.60785
