sample_id,degree,train_error,test_error,train_r2,test_r2,error_difference
0,1,264732.9471954756,1689013.4428885498,0.8203215471131402,0.4329233235394133,-1424280.495693074
0,2,137491.5651076539,961064.5025264001,0.9066822926075202,0.6773280483636269,-823572.9374187463
0,3,7936.753765206803,2863663.1999188843,0.9946131992538755,0.03854133503208346,-2855726.4461536775
0,4,6365.76708509612,2409041.895362236,0.9956794528470851,0.19117785756636363,-2402676.1282771397
0,5,5726.3229123145275,207786.2291450124,0.9961134537558881,0.930236952977522,-202059.90623269786
0,6,5714.8709075618335,557954.6692302437,0.9961212264132706,0.8126698868058503,-552239.7983226818
0,7,5648.938141005843,102335842.92306818,0.9961659760283632,-33.35867839415144,-102330193.98492718
0,8,5648.064667751662,24036528.50501709,0.996166568868524,-7.0701280121040835,-24030880.44034934
0,9,5624.5514290220735,92653715295.75433,0.9961825276768326,-31106.958999891027,-92653709671.20291
0,10,5430.3050181927765,41353741974428.13,0.996314365798783,-13884283.140428107,-41353741968997.83
1,1,3966542.016910168,2221915.9930011225,0.42742094320842106,0.25400431714098437,1744626.0239090454
1,2,1257515.474173481,1045723.5746416819,0.8184748778574772,0.6489042454332798,211791.89953179925
1,3,570156.201152487,1024976.1654126575,0.9176966994203015,0.6558700703178004,-454819.9642601706
1,4,562534.2574898067,982535.6509717247,0.918796943737566,0.6701192321452412,-420001.3934819179
1,5,7207.311029605271,12188.441427786902,0.9989596088144934,0.9959077999732889,-4981.130398181631
1,6,7092.756650798951,11976.27947524824,0.9989761449908123,0.9959790321446038,-4883.522824449289
1,7,6840.941615919289,23790.78286155348,0.9990124950444719,0.9920123796928149,-16949.841245634194
1,8,6840.742796280897,26268.27308278543,0.9990125237445235,0.9911805764134892,-19427.53028650453
1,9,6573.803976862456,1440122.6608210946,0.9990510569497164,0.5164869908925345,-1433548.8568442322
1,10,5667.129061054613,196708379.12073046,0.9991819374662714,-65.04372175567906,-196702711.99166942
2,1,77304.94905591439,1627203.035398594,0.9542963399116411,0.45367581701284243,-1549898.0863426798
2,2,52601.13964951001,1319778.6566157648,0.9689015433531604,0.5568918072212938,-1267177.516966255
2,3,46372.797526195296,1414616.5751465617,0.9725838177067996,0.5250505143829675,-1368243.7776203663
2,4,17913.226032861185,3005193.400925233,0.9894094750246887,-0.008976626617896777,-2987280.174892372
2,5,6312.993622650627,1075716.6214536899,0.9962676786131647,0.6388342502093268,-1069403.6278310393
2,6,5112.928185840218,23578681.670824397,0.9969771724227797,-6.9164085363028915,-23573568.74263856
2,7,4631.221836944099,29907187.074641276,0.9972619632867699,-9.04116830447967,-29902555.852804333
2,8,4615.439531206537,80156216.40439582,0.9972712939848125,-25.911994684023178,-80151600.96486461
2,9,4498.517078686162,8314888136.485486,0.9973404200122137,-2790.6764957867085,-8314883637.968408
2,10,3077.405839773256,1902356444124.984,0.9981805988856781,-638704.3781720313,-1902356441047.5781
3,1,67609.64025599464,1664156.9768282778,0.9321245647066765,0.44126874093165636,-1596547.3365722832
3,2,60575.68737592678,1436521.1107610092,0.9391861702966426,0.5176961908824924,-1375945.4233850823
3,3,29666.93149767971,1789405.5787595585,0.9702164383422572,0.39921723375533824,-1759738.6472618787
3,4,7336.4883315632815,4260606.690681913,0.9926346695952861,-0.4304745128171634,-4253270.20235035
3,5,3998.204523401033,80950.6406410145,0.9959860772607273,0.9728212818877541,-76952.43611761347
3,6,3998.0399840262207,96634.10070795724,0.9959862424469589,0.9675556491909805,-92636.06072393102
3,7,3972.714657493627,7908248.200044323,0.9960116673354191,-1.6551494452507258,-7904275.485386829
3,8,3735.7900922654744,1427068940.5552423,0.996249523326601,-478.1302966222729,-1427065204.76515
3,9,3523.681303196373,26672374195.934383,0.9964624659829011,-8954.098241536985,-26672370672.25308
3,10,2460.528353164633,3558073654376.61,0.9975297985259165,-1194602.0335171234,-3558073651916.0815
4,1,399402.9615834794,1691929.6831607057,0.7224597861966283,0.4319442124208739,-1292526.7215772262
4,2,121340.93381676772,904132.7107946889,0.9156816750154027,0.6964425742876788,-782791.7769779211
