degree,cv_mean_error,cv_std_error
1,1387696.3370175275,640497.3662766516
2,794004.9661292649,461883.9421677236
3,725183.6572947567,326086.0597086093
4,638247.3060427079,274271.114207817
5,9825.72968240645,481.9695368595033
6,9832.918448745151,479.32592114608764
7,9836.026670534398,480.05779670538027
8,9839.114937308448,478.57150384184615
9,21389.50875222119,1363.791898714922
10,24053.29273012793,1907.7021316798252
