,gram_count,document_count,Average_freq,maha_dist,zscore_gram_count,zscore_document_count
case,787,107,7.355140187,9.276206122,1.930291644,9.124498875
de,781,59,13.23728814,5.12668362,1.915159671,4.86431876
8,767,110,6.972727273,9.571535278,1.879851734,9.390760132
space,765,66,11.59090909,5.600735057,1.874807743,5.485595026
however,753,96,7.84375,8.25464299,1.844543798,8.148207598
many,729,113,6.451327434,9.878813046,1.784015906,9.657021389
thus,729,86,8.476744186,7.332944873,1.784015906,7.260670074
m,721,86,8.38372093,7.335784303,1.763839942,7.260670074
z,715,57,12.54385965,4.936169521,1.748707969,4.686811255
do,714,112,6.375,9.792301398,1.746185974,9.568267637
how,713,123,5.796747967,10.84431399,1.743663978,10.54455891
both,706,117,6.034188034,10.27474797,1.72601001,10.0120364
h,703,84,8.369047619,7.157698829,1.718444023,7.08316257
best,688,96,7.166666667,8.286322694,1.680614091,8.148207598
w,683,66,10.34848485,5.575034361,1.668004114,5.485595026
v,678,62,10.93548387,5.257238852,1.655394136,5.130580017
any,664,111,5.981981982,9.727475539,1.6200862,9.479513884
while,659,94,7.010638298,8.112552485,1.607476222,7.970700094
9,655,107,6.121495327,9.350983934,1.59738824,9.124498875
been,649,90,7.211111111,7.740345226,1.582256267,7.615685084
were,643,95,6.768421053,8.21594683,1.567124295,8.059453846
you,640,75,8.533333333,6.355493223,1.559558308,6.284378798
because,633,106,5.971698113,9.269293348,1.54190434,9.035745122
vol,632,34,18.58823529,4.568035107,1.539382344,2.645474949
2020,621,44,14.11363636,4.211660731,1.511640394,3.533012473
