,gram_count,document_count,Average_freq,maha_dist,mad_z_gram_count,mad_z_document_count,mad_z_Average_freq
can,354,19,18.63157894736842,7.010642989133409,238.0985,12.141,11.8925
significantly,10,3,3.3333333333333335,0.5099032887135141,6.0705,1.349,1.5738333333333334
smaller,51,14,3.642857142857143,5.1490089863563755,33.725,8.7685,1.7826071428571428
ance,7,2,3.5,0.327398557299801,4.047,0.6745,1.68625
than,137,17,8.058823529411764,6.198682807218982,91.732,10.792,4.761176470588235
1,922,19,48.526315789473685,10.563473554879906,621.2145,12.141,32.0565
introduction,30,13,2.3076923076923075,4.79882953226429,19.5605,8.094,0.8820384615384614
method,104,15,6.933333333333334,5.406542161691928,69.4735,9.443,4.002033333333333
analysis,92,12,7.666666666666667,4.13779191052533,61.3795,7.4195,4.496666666666667
features,33,7,4.714285714285714,2.1424493747123745,21.584,4.047,2.5052857142857143
every,30,12,2.5,4.354189966302844,19.5605,7.4195,1.01175
system,16,6,2.6666666666666665,1.7536346875965576,10.1175,3.3725,1.1241666666666665
its,50,13,3.8461538461538463,4.708961907189596,33.0505,8.094,1.9197307692307692
many,68,14,4.857142857142857,5.0821581957268895,45.1915,8.7685,2.6016428571428567
important,44,10,4.4,3.4050222114112243,29.0035,6.0705,2.2933000000000003
classes,35,7,5.0,2.142113183186786,22.933,4.047,2.698
queries,18,1,18.0,4.21909889424038,11.4665,0.0,11.4665
answer,9,4,2.25,0.9028838888464695,5.396,2.0235,0.843125
whose,22,6,3.6666666666666665,1.7332456138429237,14.1645,3.3725,1.7986666666666666
error,91,12,7.583333333333333,4.139847716281952,60.705,7.4195,4.440458333333333
small,78,13,6.0,4.60682245576804,51.9365,8.094,3.3725
statistical,76,11,6.909090909090909,3.747464235218759,50.5875,6.745,3.9856818181818183
sense,13,5,2.6,1.3245967556788107,8.094,2.698,1.0792
be,715,19,37.63157894736842,8.828613147261208,481.593,12.141,24.708
obtained,79,11,7.181818181818182,3.741481447589383,52.611,6.745,4.169636363636363
through,43,11,3.909090909090909,3.8505584836879634,28.329,6.745,1.9621818181818182
over,59,14,4.214285714285714,5.116491790704877,39.121,8.7685,2.1680357142857143
derived,17,7,2.4285714285714284,2.19436137613984,10.792,4.047,0.9635714285714284
sample,984,17,57.88235294117647,10.896281784524833,663.0335,10.792,38.36714705882353
are,731,19,38.473684210526315,8.949834311607814,492.385,12.141,25.276
part,31,11,2.8181818181818183,3.9043141236851855,20.235,6.745,1.2263636363636365
all,263,19,13.842105263157896,6.919791069905721,176.719,12.141,8.662
major,7,6,1.1666666666666667,1.825276782848588,4.047,3.3725,0.11241666666666672
database,31,6,5.166666666666667,1.7456397954508032,20.235,3.3725,2.810416666666667
pling,7,2,3.5,0.327398557299801,4.047,0.6745,1.68625
uniform,16,2,8.0,1.4408440559517086,10.1175,0.6745,4.7215
element,58,5,11.6,2.174185757941716,38.4465,2.698,7.149699999999999
population,469,13,36.07692307692308,6.145327582114497,315.666,8.094,23.659384615384617
chosen,27,7,3.857142857142857,2.15174629860453,17.537,4.047,1.927142857142857
with,682,19,35.89473684210526,8.586912589417006,459.3345,12.141,23.536499999999997
same,88,16,5.5,5.897375071914369,58.6815,10.1175,3.03525
ability,15,6,2.5,1.7592182807292909,9.443,3.3725,1.01175
may,172,16,10.75,5.701148523636054,115.3395,10.1175,6.576375
however,86,13,6.615384615384615,4.582945709659067,57.332499999999996,8.094,3.787576923076923
lead,14,9,1.5555555555555556,3.1061298357863727,8.7685,5.396,0.37472222222222223
high,24,8,3.0,2.6031401720159586,15.5135,4.7215,1.349
estimation,31,7,4.428571428571429,2.144169615898502,20.235,4.047,2.3125714285714287
instance,10,3,3.3333333333333335,0.5099032887135141,6.0705,1.349,1.5738333333333334
suppose,31,9,3.4444444444444446,3.0150813028256445,20.235,5.396,1.648777777777778
estimate,110,13,8.461538461538462,4.526031453126901,73.5205,8.094,5.032807692307692
mean,190,15,12.666666666666666,5.268506044211794,127.48049999999999,9.443,7.869166666666666
size,452,19,23.789473684210527,7.294571988586654,304.1995,12.141,15.371500000000001
two,116,14,8.285714285714286,4.941112208570607,77.5675,8.7685,4.914214285714286
leads,8,5,1.6,1.3664447425443078,4.7215,2.698,0.40470000000000006
approximately,9,5,1.8,1.3555670301251002,5.396,2.698,0.5396
alternative,17,8,2.125,2.6413617586142877,10.792,4.7215,0.7588125
into,121,19,6.368421052631579,7.122452061531521,80.94,12.141,3.621
subgroups,8,3,2.6666666666666665,0.4706060532975808,4.7215,1.349,1.1241666666666665
called,43,15,2.8666666666666667,5.627685673219827,28.329,9.443,1.2590666666666666
within,113,14,8.071428571428571,4.947783276123434,75.544,8.7685,4.769678571428571
select,47,11,4.2727272727272725,3.8345133020919975,31.027,6.745,2.2074545454545453
samples,233,18,12.944444444444445,6.500931682080857,156.484,11.4665,8.056527777777777
combined,16,10,1.6,3.5387261149303635,10.1175,6.0705,0.40470000000000006
derive,11,6,1.8333333333333333,1.7875941634100148,6.745,3.3725,0.5620833333333333
divided,37,14,2.642857142857143,5.210329527893443,24.282,8.7685,1.1081071428571427
