,gram_count,document_count,Average_freq,maha_dist,mad_z_gram_count,mad_z_document_count,mad_z_Average_freq
set,138,13,10.615384615384615,4.48834357827109,92.4065,8.094,6.4855769230769225
rows,46,3,15.333333333333334,3.0587866895330187,30.3525,1.349,9.667833333333334
group,46,11,4.181818181818182,3.838435341683104,30.3525,6.745,2.1461363636363635
note,43,10,4.3,3.4086944676993607,28.329,6.0705,2.22585
performed,52,8,6.5,2.5470912895834688,34.399499999999996,4.7215,3.70975
specific,9,4,2.25,0.9028838888464695,5.396,2.0235,0.843125
budget,43,2,21.5,4.798800402013157,28.329,0.6745,13.82725
needs,12,5,2.4,1.3304109032922478,7.4195,2.698,0.9442999999999999
characteristics,59,6,9.833333333333334,2.081025506532241,39.121,3.3725,5.958083333333334
once,13,6,2.1666666666666665,1.7722115033939791,8.094,3.3725,0.7869166666666666
final,24,6,4.0,1.7315286670834846,15.5135,3.3725,2.0235
step,33,6,5.5,1.7553476245529538,21.584,3.3725,3.03525
assigned,14,6,2.3333333333333335,1.7654126876339178,8.7685,3.3725,0.8993333333333334
uniformly,10,1,10.0,2.1318835993066867,6.0705,0.0,6.0705
pass,16,4,4.0,0.9285483174506097,10.1175,2.0235,2.0235
belonging,12,4,3.0,0.8934707749290605,7.4195,2.0235,1.349
determined,17,11,1.5454545454545454,3.9773120430218816,10.792,6.745,0.36790909090909085
occur,9,5,1.8,1.3555670301251002,5.396,2.698,0.5396
n,573,19,30.157894736842106,7.879509387969248,385.814,12.141,19.667
rstrata,9,1,9.0,1.8739755619519085,5.396,0.0,5.396
let,43,11,3.909090909090909,3.8505584836879634,28.329,6.745,1.9621818181818182
without,39,14,2.7857142857142856,5.20123108951332,25.631,8.7685,1.2044642857142855
replacement,17,6,2.8333333333333335,1.7486677593322508,10.792,3.3725,1.2365833333333334
s1,44,3,14.666666666666666,2.9039902415946752,29.0035,1.349,9.218166666666667
s2,64,8,8.0,2.572022238104344,42.4935,4.7215,4.7215
sn,22,5,4.4,1.3323173322791781,14.1645,2.698,2.2933000000000003
denote,15,5,3.0,1.316933120314868,9.443,2.698,1.349
dom,17,4,4.25,0.9453141468208098,10.792,2.0235,2.192125
si,26,3,8.666666666666666,1.528797756427766,16.8625,1.349,5.171166666666666
estimated,39,11,3.5454545454545454,3.867548686938902,25.631,6.745,1.716909090909091
shown,29,9,3.2222222222222223,3.0240102920092786,18.886,5.396,1.498888888888889
store,13,2,6.5,1.0682334471793369,8.094,0.6745,3.70975
question,22,9,2.4444444444444446,3.0590559080741744,14.1645,5.396,0.9742777777777779
split,124,8,15.5,3.084713994666865,82.9635,4.7215,9.78025
minimize,35,7,5.0,2.142113183186786,22.933,4.047,2.698
follows,22,10,2.2,3.504834378142861,14.1645,6.0705,0.8094000000000001
see,50,9,5.555555555555555,2.95521987907448,33.0505,5.396,3.072722222222222
theorem,21,4,5.25,1.039731576275873,13.49,2.0235,2.866625
i,812,17,47.76470588235294,9.243209925625829,547.0195,10.792,31.54279411764706
iσ2,10,1,10.0,2.1318835993066867,6.0705,0.0,6.0705
theory,37,7,5.285714285714286,2.1431616926573387,24.282,4.047,2.8907142857142856
around,16,5,3.2,1.3151067363730369,10.1175,2.698,1.4839
useful,10,5,2.0,1.3459182276804824,6.0705,2.698,0.6745
types,27,12,2.25,4.369008882288475,17.537,7.4195,0.843125
including,16,9,1.7777777777777777,3.0936757597367044,10.1175,5.396,0.524611111111111
across,24,9,2.6666666666666665,3.0484473852543363,15.5135,5.396,1.1241666666666665
section,70,10,7.0,3.339930936416989,46.5405,6.0705,4.047
studies,36,7,5.142857142857143,2.142464414433525,23.607499999999998,4.047,2.794357142857143
they,89,13,6.846153846153846,4.574616567108727,59.356,8.094,3.943230769230769
very,49,12,4.083333333333333,4.2692814734120805,32.376,7.4195,2.079708333333333
volume,16,4,4.0,0.9285483174506097,10.1175,2.0235,2.0235
true,30,9,3.3333333333333335,3.0194848219466026,19.5605,5.396,1.5738333333333334
scenario,8,3,2.6666666666666665,0.4706060532975808,4.7215,1.349,1.1241666666666665
especially,25,7,3.5714285714285716,2.1575882153083277,16.188,4.047,1.7344285714285714
text,8,6,1.3333333333333333,1.8150128756359525,4.7215,3.3725,0.22483333333333327
out,68,11,6.181818181818182,3.766229299622794,45.1915,6.745,3.4951363636363633
little,12,8,1.5,2.6742082962762694,7.4195,4.7215,0.33725
say,21,8,2.625,2.6183895465988156,13.49,4.7215,1.0960625
otherwise,8,3,2.6666666666666665,0.4706060532975808,4.7215,1.349,1.1241666666666665
bounded,18,2,9.0,1.6894074974933044,11.4665,0.6745,5.396
v,146,13,11.23076923076923,4.4833692231857185,97.8025,8.094,6.900653846153846
general,27,8,3.375,2.589621373931668,17.537,4.7215,1.6019375
whether,21,9,2.3333333333333335,3.0645363982331473,13.49,5.396,0.8993333333333334
solution,55,9,6.111111111111111,2.9471773064312545,36.423,5.396,3.4474444444444443
consists,18,11,1.6363636363636365,3.9717422844832058,11.4665,6.745,0.4292272727272728
achieved,43,8,5.375,2.5477284062115975,28.329,4.7215,2.9509374999999998
m,110,12,9.166666666666666,4.109231002714732,73.5205,7.4195,5.508416666666666
find,21,7,3.0,2.173323999807144,13.49,4.047,1.349
describe,16,4,4.0,0.9285483174506097,10.1175,2.0235,2.0235
start,8,2,4.0,0.44957225393225925,4.7215,0.6745,2.0235
then,192,16,12.0,5.68085073314828,128.8295,10.1175,7.4195
multielementssr,9,1,9.0,1.8739755619519085,5.396,0.0,5.396
windows,10,2,5.0,0.6963060425724137,6.0705,0.6745,2.698
now,59,10,5.9,3.3602332450890358,39.121,6.0705,3.30505
need,36,13,2.769230769230769,4.770444180279595,23.607499999999998,8.094,1.1933461538461538
simple,113,16,7.0625,5.820758381497698,75.544,10.1175,4.08915625
o,42,9,4.666666666666667,2.974835519693766,27.6545,5.396,2.4731666666666667
space,22,4,5.5,1.0692690726045957,14.1645,2.0235,3.03525
constant,24,6,4.0,1.7315286670834846,15.5135,3.3725,2.0235
end,14,6,2.3333333333333335,1.7654126876339178,8.7685,3.3725,0.8993333333333334
rate,31,9,3.4444444444444446,3.0150813028256445,20.235,5.396,1.648777777777778
order,32,9,3.5555555555555554,3.0108002697333953,20.9095,5.396,1.7237222222222222
compared,41,9,4.555555555555555,2.977865020229023,26.98,5.396,2.398222222222222
clearly,16,6,2.6666666666666665,1.7536346875965576,10.1175,3.3725,1.1241666666666665
either,20,11,1.8181818181818181,3.960764461235918,12.8155,6.745,0.5518636363636363
greater,24,9,2.6666666666666665,3.0484473852543363,15.5135,5.396,1.1241666666666665
α,7,2,3.5,0.327398557299801,4.047,0.6745,1.68625
idea,7,3,2.3333333333333335,0.4697139373905674,4.047,1.349,0.8993333333333334
proof,17,3,5.666666666666667,0.8842077194638219,10.792,1.349,3.147666666666667
construct,10,6,1.6666666666666667,1.7961627204265262,6.0705,3.3725,0.4496666666666667
certain,32,10,3.2,3.4545927585971015,20.9095,6.0705,1.4839
point,47,9,5.222222222222222,2.9616081366881333,31.027,5.396,2.847888888888889
single,33,10,3.3,3.4500087483580897,21.584,6.0705,1.5513499999999998
increasing,19,9,2.111111111111111,3.0758466960375985,12.141,5.396,0.7494444444444445
value,134,16,8.375,5.768140351655108,89.7085,10.1175,4.9744375
will,143,17,8.411764705882353,6.1850100686233285,95.779,10.792,4.999235294117647
though,9,6,1.5,1.8053051819952584,5.396,3.3725,0.33725
actually,7,5,1.4,1.3785222738124179,4.047,2.698,0.26979999999999993
limited,13,7,1.8571428571428572,2.220549668372045,8.094,4.047,0.5781428571428572
total,171,17,10.058823529411764,6.132166328429346,114.66499999999999,10.792,6.110176470588235
least,11,6,1.8333333333333333,1.7875941634100148,6.745,3.3725,0.5620833333333333
next,18,9,2.0,3.0816752216258525,11.4665,5.396,0.6745
left,10,5,2.0,1.3459182276804824,6.0705,2.698,0.6745
inequality,7,3,2.3333333333333335,0.4697139373905674,4.047,1.349,0.8993333333333334
right,11,7,1.5714285714285714,2.235520229697045,6.745,4.047,0.3854285714285714
thus,92,16,5.75,5.884116757478154,61.3795,10.1175,3.203875
4,207,18,11.5,6.51816317702595,138.947,11.4665,7.08225
observe,20,6,3.3333333333333335,1.7375165661556542,12.8155,3.3725,1.5738333333333334
fact,15,8,1.875,2.6539573180616016,9.443,4.7215,0.5901875
definition,7,4,1.75,0.9259319186889675,4.047,2.0235,0.505875
n2,49,8,6.125,2.545452978912006,32.376,4.7215,3.4568125
hand,16,6,2.6666666666666665,1.7536346875965576,10.1175,3.3725,1.1241666666666665
know,23,9,2.5555555555555554,3.0536926974150895,14.839,5.396,1.049222222222222
whereas,15,8,1.875,2.6539573180616016,9.443,4.7215,0.5901875
equally,9,6,1.5,1.8053051819952584,5.396,3.3725,0.33725
equal,67,13,5.153846153846154,4.643551659403844,44.516999999999996,8.094,2.801769230769231
observations,9,5,1.8,1.3555670301251002,5.396,2.698,0.5396
equation,22,5,4.4,1.3323173322791781,14.1645,2.698,2.2933000000000003
up,25,10,2.5,3.488931128791239,16.188,6.0705,1.01175
factors,38,9,4.222222222222222,2.9877147086844595,24.9565,5.396,2.173388888888889
always,15,6,2.5,1.7592182807292909,9.443,3.3725,1.01175
call,15,5,3.0,1.316933120314868,9.443,2.698,1.349
senate,17,1,17.0,3.9570952679550113,10.792,0.0,10.792
due,63,12,5.25,4.2169707488085795,41.819,7.4195,2.866625
resources,24,12,2.0,4.384202500891182,15.5135,7.4195,0.6745
performs,12,5,2.4,1.3304109032922478,7.4195,2.698,0.9442999999999999
practice,16,8,2.0,2.647568143136568,10.1175,4.7215,0.6745
good,24,12,2.0,4.384202500891182,15.5135,7.4195,0.6745
properties,15,5,3.0,1.316933120314868,9.443,2.698,1.349
allocated,15,4,3.75,0.9148555446725114,9.443,2.0235,1.854875
making,11,8,1.375,2.6813152274307064,6.745,4.7215,0.2529375
decisions,7,3,2.3333333333333335,0.4697139373905674,4.047,1.349,0.8993333333333334
tions,10,5,2.0,1.3459182276804824,6.0705,2.698,0.6745
problems,26,10,2.6,3.483786900920807,16.8625,6.0705,1.0792
belong,7,3,2.3333333333333335,0.4697139373905674,4.047,1.349,0.8993333333333334
variances,44,8,5.5,2.5468353700899584,29.0035,4.7215,3.03525
previous,17,8,2.125,2.6413617586142877,10.792,4.7215,0.7588125
approach,66,11,6.0,3.771554291182344,43.8425,6.745,3.3725
add,13,3,4.333333333333333,0.6402594923123793,8.094,1.349,2.248333333333333
optimization,9,5,1.8,1.3555670301251002,5.396,2.698,0.5396
threshold,10,5,2.0,1.3459182276804824,6.0705,2.698,0.6745
what,28,8,3.5,2.585504472457193,18.2115,4.7215,1.68625
way,32,11,2.909090909090909,3.8995179600443097,20.9095,6.745,1.2876818181818181
reduce,26,11,2.3636363636363638,3.929140606066816,16.8625,6.745,0.9197727272727273
issue,22,6,3.6666666666666665,1.7332456138429237,14.1645,3.3725,1.7986666666666666
decrease,27,3,9.0,1.6035795331900098,17.537,1.349,5.396
increase,59,12,4.916666666666667,4.231004639033489,39.121,7.4195,2.6417916666666668
simply,18,6,3.0,1.7443227637712917,11.4665,3.3725,1.349
according,42,10,4.2,3.4124510734897537,27.6545,6.0705,2.1584
ones,9,7,1.2857142857142858,2.251709161942617,5.396,4.047,0.19271428571428578
key,22,4,5.5,1.0692690726045957,14.1645,2.0235,3.03525
drawn,54,10,5.4,3.372996349155757,35.7485,6.0705,2.9678
maintained,7,2,3.5,0.327398557299801,4.047,0.6745,1.68625
keys,8,1,8.0,1.6177985932376384,4.7215,0.0,4.7215
strategy,38,6,6.333333333333333,1.790262339467854,24.9565,3.3725,3.5973333333333333
instead,12,8,1.5,2.6742082962762694,7.4195,4.7215,0.33725
until,12,7,1.7142857142857142,2.227881070755732,7.4195,4.047,0.4817857142857142
enough,22,9,2.4444444444444446,3.0590559080741744,14.1645,5.396,0.9742777777777779
variable,64,12,5.333333333333333,4.213577745675066,42.4935,7.4195,2.922833333333333
included,17,7,2.4285714285714284,2.19436137613984,10.792,4.047,0.9635714285714284
di,34,8,4.25,2.5649546849368043,22.258499999999998,4.7215,2.192125
respectively,43,11,3.909090909090909,3.8505584836879634,28.329,6.745,1.9621818181818182
0,123,14,8.785714285714286,4.926689594567507,82.289,8.7685,5.251464285714286
sr,19,2,9.5,1.8137168446642986,12.141,0.6745,5.73325
e,119,14,8.5,4.934734604800614,79.591,8.7685,5.05875
d,64,12,5.333333333333333,4.213577745675066,42.4935,7.4195,2.922833333333333
independently,12,9,1.3333333333333333,3.1190320169440633,7.4195,5.396,0.22483333333333327
ni,56,7,8.0,2.2207576467795067,37.0975,4.047,4.7215
selected,318,14,22.714285714285715,5.180770418470365,213.8165,8.7685,14.646285714285714
process,42,12,3.5,4.298737361553525,27.6545,7.4195,1.68625
vary,15,10,1.5,3.544640768269513,9.443,6.0705,0.33725
update,9,5,1.8,1.3555670301251002,5.396,2.698,0.5396
std,8,2,4.0,0.44957225393225925,4.7215,0.6745,2.0235
dev,38,6,6.333333333333333,1.790262339467854,24.9565,3.3725,3.5973333333333333
assign,16,4,4.0,0.9285483174506097,10.1175,2.0235,2.0235
sampled,22,6,3.6666666666666665,1.7332456138429237,14.1645,3.3725,1.7986666666666666
βelements,8,1,8.0,1.6177985932376384,4.7215,0.0,4.7215
faster,10,4,2.5,0.8963187704492105,6.0705,2.0235,1.01175
evicting,8,1,8.0,1.6177985932376384,4.7215,0.0,4.7215
9,54,13,4.153846153846154,4.69264456822564,35.7485,8.094,2.127269230769231
10,101,16,6.3125,5.8556690308191355,67.45,10.1175,3.5832812499999998
largest,7,4,1.75,0.9259319186889675,4.047,2.0235,0.505875
11,116,16,7.25,5.81257650015209,77.5675,10.1175,4.215625
amount,20,6,3.3333333333333335,1.7375165661556542,12.8155,3.3725,1.5738333333333334
get,43,9,4.777777777777778,2.9719335437816876,28.329,5.396,2.548111111111111
balance,9,5,1.8,1.3555670301251002,5.396,2.698,0.5396
returns,10,3,3.3333333333333335,0.5099032887135141,6.0705,1.349,1.5738333333333334
special,9,6,1.5,1.8053051819952584,5.396,3.3725,0.33725
use,125,18,6.944444444444445,6.669350030669542,83.638,11.4665,4.009527777777778
lemma,11,1,11.0,2.390962590857764,6.745,0.0,6.745
presents,21,5,4.2,1.3261288048258812,13.49,2.698,2.1584
complexity,8,4,2.0,0.9127906897719432,4.7215,2.0235,0.6745
cost,156,12,13.0,4.1101115966876804,104.5475,7.4195,8.094
expected,22,9,2.4444444444444446,3.0590559080741744,14.1645,5.396,0.9742777777777779
comes,8,5,1.6,1.3664447425443078,4.7215,2.698,0.40470000000000006
low,16,7,2.2857142857142856,2.2004321166318164,10.1175,4.047,0.8672142857142856
still,22,9,2.4444444444444446,3.0590559080741744,14.1645,5.396,0.9742777777777779
because,64,13,4.923076923076923,4.654339988723543,42.4935,8.094,2.646115384615385
appear,12,5,2.4,1.3304109032922478,7.4195,2.698,0.9442999999999999
necessary,16,7,2.2857142857142856,2.2004321166318164,10.1175,4.047,0.8672142857142856
reduced,12,6,2.0,1.7796078007700256,7.4195,3.3725,0.6745
minimized,12,4,3.0,0.8934707749290605,7.4195,2.0235,1.349
subsample,8,4,2.0,0.9127906897719432,4.7215,2.0235,0.6745
affect,7,6,1.1666666666666667,1.825276782848588,4.047,3.3725,0.11241666666666672
parameters,89,13,6.846153846153846,4.574616567108727,59.356,8.094,3.943230769230769
program,32,4,8.0,1.4511848556585465,20.9095,2.0235,4.7215
subject,14,6,2.3333333333333335,1.7654126876339178,8.7685,3.3725,0.8993333333333334
constraints,10,3,3.3333333333333335,0.5099032887135141,6.0705,1.349,1.5738333333333334
approaches,45,7,6.428571428571429,2.1611225081377246,29.678,4.047,3.6615714285714285
application,15,7,2.142857142857143,2.206822273529007,9.443,4.047,0.7708571428571428
items,15,8,1.875,2.6539573180616016,9.443,4.7215,0.5901875
would,113,14,8.071428571428571,4.947783276123434,75.544,8.7685,4.769678571428571
min,21,3,7.0,1.1620097555575348,13.49,1.349,4.047
required,31,10,3.1,3.4592578008400032,20.235,6.0705,1.41645
direct,8,6,1.3333333333333333,1.8150128756359525,4.7215,3.3725,0.22483333333333327
stated,7,4,1.75,0.9259319186889675,4.047,2.0235,0.505875
omit,7,3,2.3333333333333335,0.4697139373905674,4.047,1.349,0.8993333333333334
apply,16,6,2.6666666666666665,1.7536346875965576,10.1175,3.3725,1.1241666666666665
overall,22,10,2.2,3.504834378142861,14.1645,6.0705,0.8094000000000001
exhaustive,10,4,2.5,0.8963187704492105,6.0705,2.0235,1.01175
search,14,6,2.3333333333333335,1.7654126876339178,8.7685,3.3725,0.8993333333333334
feasible,18,2,9.0,1.6894074974933044,11.4665,0.6745,5.396
ways,13,6,2.1666666666666665,1.7722115033939791,8.094,3.3725,0.7869166666666666
oversized,23,1,23.0,5.530933502877365,14.839,0.0,14.839
impact,26,5,5.2,1.3697841357504765,16.8625,2.698,2.8329
last,17,9,1.8888888888888888,3.08761846323912,10.792,5.396,0.5995555555555555
exists,7,5,1.4,1.3785222738124179,4.047,2.698,0.26979999999999993
l,214,11,19.454545454545453,4.066621312358844,143.6685,6.745,12.447590909090907
consideration,16,7,2.2857142857142856,2.2004321166318164,10.1175,4.047,0.8672142857142856
output,19,5,3.8,1.3177038226776527,12.141,2.698,1.8885999999999998
j,98,8,12.25,2.7921037027522986,65.4265,4.7215,7.588125
keep,9,5,1.8,1.3555670301251002,5.396,2.698,0.5396
remaining,14,5,2.8,1.3200996638193465,8.7685,2.698,1.2141
again,19,8,2.375,2.6295024999199064,12.141,4.7215,0.9274375
statement,15,6,2.5,1.7592182807292909,9.443,3.3725,1.01175
base,7,4,1.75,0.9259319186889675,4.047,2.0235,0.505875
collection,12,4,3.0,0.8934707749290605,7.4195,2.0235,1.349
context,19,5,3.8,1.3177038226776527,12.141,2.698,1.8885999999999998
clear,16,8,2.0,2.647568143136568,10.1175,4.7215,0.6745
u,12,4,3.0,0.8934707749290605,7.4195,2.0235,1.349
corresponding,25,12,2.0833333333333335,4.379096566505573,16.188,7.4195,0.7307083333333334
20,98,12,8.166666666666666,4.126488740240285,65.4265,7.4195,4.833916666666666
24,33,11,3.0,3.8947786657050476,21.584,6.745,1.349
50,66,16,4.125,5.976925161641767,43.8425,10.1175,2.1078125
45,38,6,6.333333333333333,1.790262339467854,24.9565,3.3725,3.5973333333333333
60,63,8,7.875,2.568833043541426,41.819,4.7215,4.6371875
round,9,3,3.0,0.4843484809731123,5.396,1.349,1.349
54,14,5,2.8,1.3200996638193465,8.7685,2.698,1.2141
recall,12,5,2.4,1.3304109032922478,7.4195,2.698,0.9442999999999999
minimization,9,4,2.25,0.9028838888464695,5.396,2.0235,0.843125
formula,21,8,2.625,2.6183895465988156,13.49,4.7215,1.0960625
equivalent,10,3,3.3333333333333335,0.5099032887135141,6.0705,1.349,1.5738333333333334
minimizing,14,5,2.8,1.3200996638193465,8.7685,2.698,1.2141
exactly,7,4,1.75,0.9259319186889675,4.047,2.0235,0.505875
involves,11,4,2.75,0.8931690253795873,6.745,2.0235,1.180375
sequence,12,3,4.0,0.5896361141233036,7.4195,1.349,2.0235
therefore,61,13,4.6923076923076925,4.665454621109996,40.47,8.094,2.4904615384615387
becomes,13,6,2.1666666666666665,1.7722115033939791,8.094,3.3725,0.7869166666666666
vis,7,4,1.75,0.9259319186889675,4.047,2.0235,0.505875
array,8,2,4.0,0.44957225393225925,4.7215,0.6745,2.0235
numbers,29,5,5.8,1.4104754964035122,18.886,2.698,3.2376
q,76,5,15.2,2.815149798648054,50.5875,2.698,9.5779
x,114,12,9.5,4.105075619498473,76.21849999999999,7.4195,5.73325
y,299,13,23.0,4.8715671021350655,201.001,8.094,14.839
z,171,4,42.75,8.912742664036642,114.66499999999999,2.0235,28.160375
12,127,16,7.9375,5.784466999792566,84.987,10.1175,4.67934375
exist,10,6,1.6666666666666667,1.7961627204265262,6.0705,3.3725,0.4496666666666667
13,69,13,5.3076923076923075,4.636541846979512,45.866,8.094,2.905538461538461
procedure,75,12,6.25,4.179341758304118,49.913,7.4195,3.541125
w,133,11,12.090909090909092,3.734267380752845,89.03399999999999,6.745,7.480818181818182
similar,42,12,3.5,4.298737361553525,27.6545,7.4195,1.68625
provide,33,11,3.0,3.8947786657050476,21.584,6.745,1.349
exact,10,5,2.0,1.3459182276804824,6.0705,2.698,0.6745
requires,10,5,2.0,1.3459182276804824,6.0705,2.698,0.6745
linear,8,6,1.3333333333333333,1.8150128756359525,4.7215,3.3725,0.22483333333333327
21,48,11,4.363636363636363,3.830651073300935,31.7015,6.745,2.268772727272727
require,12,7,1.7142857142857142,2.227881070755732,7.4195,4.047,0.4817857142857142
just,16,11,1.4545454545454546,3.9829353987485723,10.1175,6.745,0.30659090909090914
27,29,8,3.625,2.5815838422813266,18.886,4.7215,1.7705625
43,25,9,2.7777777777777777,3.043320581203494,16.188,5.396,1.199111111111111
quite,10,5,2.0,1.3459182276804824,6.0705,2.698,0.6745
those,40,10,4.0,3.420216215590145,26.3055,6.0705,2.0235
additional,23,8,2.875,2.6080324387991625,14.839,4.7215,1.2646875
reason,20,7,2.857142857142857,2.1780916587770363,12.8155,4.047,1.2526428571428572
become,9,3,3.0,0.4843484809731123,5.396,1.349,1.349
cause,7,5,1.4,1.3785222738124179,4.047,2.698,0.26979999999999993
beyond,7,6,1.1666666666666667,1.825276782848588,4.047,3.3725,0.11241666666666672
give,17,8,2.125,2.6413617586142877,10.792,4.7215,0.7588125
us,34,13,2.6153846153846154,4.779772323802206,22.258499999999998,8.094,1.089576923076923
selecting,38,8,4.75,2.5552645248761503,24.9565,4.7215,2.529375
focus,9,6,1.5,1.8053051819952584,5.396,3.3725,0.33725
iin,8,3,2.6666666666666665,0.4706060532975808,4.7215,1.349,1.1241666666666665
full,10,7,1.4285714285714286,2.2434640013974523,6.0705,4.047,0.2890714285714286
removed,7,2,3.5,0.327398557299801,4.047,0.6745,1.68625
earlier,13,5,2.6,1.3245967556788107,8.094,2.698,1.0792
save,12,2,6.0,0.9441418324274715,7.4195,0.6745,3.3725
whole,30,11,2.727272727272727,3.909166947308549,19.5605,6.745,1.1650454545454545
records,14,2,7.0,1.192392676912969,8.7685,0.6745,4.047
created,10,7,1.4285714285714286,2.2434640013974523,6.0705,4.047,0.2890714285714286
could,66,12,5.5,4.206931090325111,43.8425,7.4195,3.03525
zero,8,5,1.6,1.3664447425443078,4.7215,2.698,0.40470000000000006
run,17,6,2.8333333333333335,1.7486677593322508,10.792,3.3725,1.2365833333333334
experiment,11,4,2.75,0.8931690253795873,6.745,2.0235,1.180375
finite,9,4,2.25,0.9028838888464695,5.396,2.0235,0.843125
source,21,7,3.0,2.173323999807144,13.49,4.047,1.349
access,9,6,1.5,1.8053051819952584,5.396,3.3725,0.33725
received,8,5,1.6,1.3664447425443078,4.7215,2.698,0.40470000000000006
evaluate,23,8,2.875,2.6080324387991625,14.839,4.7215,1.2646875
samplers,12,1,12.0,2.650869234130247,7.4195,0.0,7.4195
estimates,73,11,6.636363636363637,3.754023691219162,48.564,6.745,3.801727272727273
80,53,7,7.571428571428571,2.2006127119759493,35.074,4.047,4.432428571428571
relative,51,10,5.1,3.381700490644964,33.725,6.0705,2.7654499999999995
fraction,13,9,1.4444444444444444,3.1125252569729787,8.094,5.396,0.29977777777777775
150,14,5,2.8,1.3200996638193465,8.7685,2.698,1.2141
200,27,10,2.7,3.478721684976106,17.537,6.0705,1.1466500000000002
count,63,5,12.6,2.345263304420262,41.819,2.698,7.824199999999999
figure,157,8,19.625,3.5661660992317543,105.222,4.7215,12.5625625
openaq,13,1,13.0,2.9113818776869285,8.094,0.0,8.094
dataset,189,10,18.9,3.787476976173942,126.806,6.0705,12.07355
asrs,14,1,14.0,3.1723512312917093,8.7685,0.0,8.7685
proportional,105,11,9.545454545454545,3.714125006690217,70.148,6.745,5.763909090909091
parameter,39,12,3.25,4.3120195774964545,25.631,7.4195,1.517625
1in,8,2,4.0,0.44957225393225925,4.7215,0.6745,2.0235
implemented,14,5,2.8,1.3200996638193465,8.7685,2.698,1.2141
determine,21,9,2.3333333333333335,3.0645363982331473,13.49,5.396,0.8993333333333334
between,87,11,7.909090909090909,3.728366878935793,58.007,6.745,4.660181818181818
37,17,7,2.4285714285714284,2.19436137613984,10.792,4.047,0.9635714285714284
generate,29,7,4.142857142857143,2.147270580339907,18.886,4.047,2.119857142857143
type,41,11,3.727272727272727,3.858936221476977,26.98,6.745,1.8395454545454544
measurement,7,3,2.3333333333333335,0.4697139373905674,4.047,1.349,0.8993333333333334
stratifying,11,6,1.8333333333333333,1.7875941634100148,6.745,3.3725,0.5620833333333333
were,199,12,16.583333333333332,4.20614734553916,133.551,7.4195,10.510958333333333
figures,8,3,2.6666666666666665,0.4706060532975808,4.7215,1.349,1.1241666666666665
specified,16,6,2.6666666666666665,1.7536346875965576,10.1175,3.3725,1.1241666666666665
million,10,3,3.3333333333333335,0.5099032887135141,6.0705,1.349,1.5738333333333334
five,9,6,1.5,1.8053051819952584,5.396,3.3725,0.33725
vector,15,4,3.75,0.9148555446725114,9.443,2.0235,1.854875
normalized,17,3,5.666666666666667,0.8842077194638219,10.792,1.349,3.147666666666667
discussion,12,6,2.0,1.7796078007700256,7.4195,3.3725,0.6745
difference,18,8,2.25,2.635339455942587,11.4665,4.7215,0.843125
less,41,13,3.1538461538461537,4.7477148053702924,26.98,8.094,1.4527692307692306
times,9,5,1.8,1.3555670301251002,5.396,2.698,0.5396
comparison,44,11,4.0,3.8464581186426976,29.0035,6.745,2.0235
generally,19,10,1.9,3.521435983121933,12.141,6.0705,0.60705
fixed,66,8,8.25,2.5789979626412274,43.8425,4.7215,4.890125
better,63,12,5.25,4.2169707488085795,41.819,7.4195,2.866625
nearly,7,6,1.1666666666666667,1.825276782848588,4.047,3.3725,0.11241666666666672
substantial,7,4,1.75,0.9259319186889675,4.047,2.0235,0.505875
batch,14,3,4.666666666666667,0.6960446875833781,8.7685,1.349,2.4731666666666667
1k,16,2,8.0,1.4408440559517086,10.1175,0.6745,4.7215
performance,171,8,21.375,3.7974387637658893,114.66499999999999,4.7215,13.7429375
having,12,8,1.5,2.6742082962762694,7.4195,4.7215,0.33725
sensitivity,33,6,5.5,1.7553476245529538,21.584,3.3725,3.03525
conducted,9,5,1.8,1.3555670301251002,5.396,2.698,0.5396
5000,9,3,3.0,0.4843484809731123,5.396,1.349,1.349
decreases,12,4,3.0,0.8934707749290605,7.4195,2.0235,1.349
decreased,8,3,2.6666666666666665,0.4706060532975808,4.7215,1.349,1.1241666666666665
increased,12,5,2.4,1.3304109032922478,7.4195,2.698,0.9442999999999999
makes,13,7,1.8571428571428572,2.220549668372045,8.094,4.047,0.5781428571428572
constructed,16,5,3.2,1.3151067363730369,10.1175,2.698,1.4839
variety,7,5,1.4,1.3785222738124179,4.047,2.698,0.26979999999999993
evaluating,12,7,1.7142857142857142,2.227881070755732,7.4195,4.047,0.4817857142857142
implement,9,5,1.8,1.3555670301251002,5.396,2.698,0.5396
expensive,9,3,3.0,0.4843484809731123,5.396,1.349,1.349
knowledge,48,8,6.0,2.5453181123448867,31.7015,4.7215,3.3725
selectivity,9,2,4.5,0.5727122384228868,5.396,0.6745,2.36075
four,27,10,2.7,3.478721684976106,17.537,6.0705,1.1466500000000002
functions,7,4,1.75,0.9259319186889675,4.047,2.0235,0.505875
month,13,2,6.5,1.0682334471793369,8.094,0.6745,3.70975
year,7,5,1.4,1.3785222738124179,4.047,2.698,0.26979999999999993
2016,27,6,4.5,1.7337555192974885,17.537,3.3725,2.36075
errors,28,5,5.6,1.3957747358065578,18.2115,2.698,3.1026999999999996
accurately,11,4,2.75,0.8931690253795873,6.745,2.0235,1.180375
take,32,14,2.2857142857142856,5.233561005908837,20.9095,8.7685,0.8672142857142856
