,gram_count,document_count,Average_freq,maha_dist,zscore_gram_count,zscore_document_count,zscore_Average_freq
42,13,6,2.1666666666666665,1.7722115033939791,1.4721332430501923,2.1752721023412476,0.4162016994869461
made,25,9,2.7777777777777777,3.043320581203494,2.0260593201500083,2.7890825177814342,0.7597829156838382
respect,30,8,3.75,2.5778603789226726,2.1804997194293376,2.610777522845187,1.1747782338752835
improve,12,7,1.7142857142857142,2.227881070755732,1.404330905521504,2.408631991843541,0.09235074282320302
increases,14,6,2.3333333333333335,1.7654126876339178,1.5349084025566282,2.1752721023412476,0.5186808426195055
reduction,41,6,6.833333333333333,1.8182242714060823,2.445105133791752,2.1752721023412476,2.004558088211668
based,165,17,9.705882352941176,6.1419564377639855,3.624552637063855,3.751869503169961,2.4898221150152455
novel,11,6,1.8333333333333333,1.7875941634100148,1.3306255684213535,2.1752721023412476,0.18519336184731613
desired,18,10,1.8,3.5271233491421827,1.7477910771611622,2.94858177084582,0.15981951942133846
target,26,5,5.2,1.3697841357504765,2.059282284597697,1.899265934901694,1.6268310479364088
technique,48,8,6.0,2.5453181123448867,2.5786289886165137,2.610777522845187,1.8247159908332848
independent,28,10,2.8,3.473735826590056,2.122057444104133,2.94858177084582,0.7708015844484982
interest,46,9,5.111111111111111,2.963996427172979,2.5425777176664672,2.7890825177814342,1.6029884639590668
tasks,16,6,2.6666666666666665,1.7536346875965576,1.6480197754293502,2.1752721023412476,0.7033328078503631
sliding,23,2,11.5,2.311069059168841,1.9554286761189623,0.5121458509569364,2.7243716469419885
window,46,3,15.333333333333334,3.0587866895330187,2.5425777176664672,1.1259562663971225,3.122188662070998
most,49,12,4.083333333333333,4.2692814734120805,2.5960951127789156,3.224587938285373,1.2925374840091175
allocations,50,4,12.5,2.322683287695695,2.613208361697513,1.5614616869010618,2.83967470528723
known,64,14,4.571428571428571,5.097120756859237,2.8223178585243596,3.4579478277876654,1.4486763645726815
36,12,7,1.7142857142857142,2.227881070755732,1.404330905521504,2.408631991843541,0.09235074282320302
neyalloc,16,1,16.0,3.695272871609357,1.6480197754293502,-0.5371699849871888,3.1810416125827636
statistics,36,10,3.6,3.436746123477122,2.334940118708667,2.94858177084582,1.118328126041808
literature,25,6,4.166666666666667,1.7316307613026696,2.0260593201500083,2.1752721023412476,1.3204745071752995
does,29,10,2.9,3.468829667952046,2.151782494384479,2.94858177084582,0.8193271112054593
no,71,15,4.733333333333333,5.514257438778714,2.9102417362160335,3.5623921862860053,1.4968044676702266
how,64,13,4.923076923076923,4.654339988723543,2.8223178585243596,3.3457600112148747,1.551155507705241
hence,32,10,3.2,3.4545927585971015,2.2351688169768553,2.94858177084582,0.955453549679356
addition,23,6,3.8333333333333335,1.7320671502775518,1.9554286761189623,2.1752721023412476,1.2051714488300582
evaluation,39,6,6.5,1.7990147321311438,2.4027424562373554,2.1752721023412476,1.9354018975988767
detailed,20,7,2.857142857142857,2.1780916587770363,1.8370395477896793,2.408631991843541,0.79873860761468
considering,13,8,1.625,2.6672787472915793,1.4721332430501923,2.610777522845187,0.018384684357937383
both,80,14,5.714285714285714,5.040163723812862,3.0113376308846886,3.4579478277876654,1.75724721423515
accuracy,132,8,16.5,3.1917077269196814,3.435532864703526,2.610777522845187,3.2235937580711775
found,30,10,3.0,3.464003547704593,2.1804997194293376,2.94858177084582,0.8662073842128154
5,184,18,10.222222222222221,6.5458834753918325,3.7168758007614766,3.8383983537255593,2.5614970705795366
100,130,12,10.833333333333334,4.096501759353994,3.4226001400530355,3.224587938285373,2.641789762390354
b,215,13,16.53846153846154,4.547862183919053,3.8487676146010124,3.3457600112148747,3.226813400069103
range,29,5,5.8,1.4104754964035122,2.151782494384479,1.899265934901694,1.7778357178259292
tion,31,8,3.875,2.5743349379150593,2.2082752245211696,2.610777522845187,1.2201211686326714
function,48,15,3.2,5.60600351533966,2.5786289886165137,3.5623921862860053,0.955453549679356
average,52,14,3.7142857142857144,5.144842752516166,2.6464313261452017,3.4579478277876654,1.1615452562092647
c,276,16,17.25,5.710285110055603,4.060335972401135,3.660093358789312,3.28506323843345
related,22,10,2.2,3.504834378142861,1.9177746099688584,2.94858177084582,0.43731410367630924
reservoir,28,2,14.0,2.9329081486905686,2.122057444104133,0.5121458509569364,2.9963896473519056
considered,22,9,2.4444444444444446,3.0590559080741744,1.9177746099688584,2.7890825177814342,0.5830103769763251
25,57,10,5.7,3.365075675621288,2.724199390508171,2.94858177084582,1.7537857966245063
or,306,19,16.105263157894736,6.9412399553509,4.14774096676234,3.9202476248119167,3.190109419589457
26,37,9,4.111111111111111,2.991250274641267,2.358149159854792,2.7890825177814342,1.3019126766203444
distributed,22,10,2.2,3.504834378142861,1.9177746099688584,2.94858177084582,0.43731410367630924
15,68,16,4.25,5.96923641865285,2.8736715819355183,3.660093358789312,1.347858285439754
16,75,12,6.25,4.179341758304118,2.9566685333371714,3.224587938285373,1.8811660986667602
18,68,14,4.857142857142857,5.0821581957268895,2.8736715819355183,3.4579478277876654,1.5325102506706119
40,48,11,4.363636363636363,3.830651073300935,2.5786289886165137,3.0928663958147458,1.3843468302158621
online,23,6,3.8333333333333335,1.7320671502775518,1.9554286761189623,2.1752721023412476,1.2051714488300582
weight,16,9,1.7777777777777777,3.0936757597367044,1.6480197754293502,2.7890825177814342,0.1426412163589021
depends,22,9,2.4444444444444446,3.0590559080741744,1.9177746099688584,2.7890825177814342,0.5830103769763251
even,40,11,3.6363636363636362,3.8632132103630585,2.424188589337184,3.0928663958147458,1.1322260883868693
after,60,12,5.0,4.2274271133056835,2.7676487609768423,3.224587938285373,1.5725952490042923
observed,33,5,6.6,1.4798272920723003,2.2612347816085165,1.899265934901694,1.9565143017882396
weighted,18,8,2.25,2.635339455942587,1.7477910771611622,2.610777522845187,0.46839036908380643
22,87,11,7.909090909090909,3.728366878935793,3.082391707571642,3.0928663958147458,2.206728998362435
35,36,7,5.142857142857143,2.142464414433525,2.334940118708667,2.408631991843541,1.611550940935134
et,169,8,21.125,3.763600468442534,3.6448428768610532,2.610777522845187,3.5652880024763998
al,68,9,7.555555555555555,2.9416426304215073,2.8736715819355183,2.7890825177814342,2.143492315697772
