,gram_count,document_count,Average_freq,maha_dist
terms,39,11,3.5454545454545454,3.867548686938902
provides,30,10,3.0,3.464003547704593
some,113,15,7.533333333333333,5.382256306805878
sizes,123,16,7.6875,5.794343325392252
standard,82,11,7.454545454545454,3.7360780986845303
deviation,18,6,3.0,1.7443227637712917
larger,51,15,3.4,5.59328764021762
another,28,8,3.5,2.585504472457193
above,42,12,3.5,4.298737361553525
example,152,17,8.941176470588236,6.166045769155113
if,248,17,14.588235294117647,6.082458073275524
three,77,12,6.416666666666667,4.173731412206062
it,313,19,16.473684210526315,6.948395952590954
best,62,10,6.2,3.3536304218551196
allocate,17,6,2.8333333333333335,1.7486677593322508
first,69,15,4.6,5.521704254576864
second,61,14,4.357142857142857,5.108654800104905
since,71,13,5.461538461538462,4.629678735578337
higher,27,10,2.7,3.478721684976106
so,96,13,7.384615384615385,4.556521470962375
further,45,9,5.0,2.9665136463845956
reduces,13,9,1.4444444444444444,3.1125252569729787
not,369,16,23.0625,5.9530415836786315
such,146,16,9.125,5.743011197455608
as,598,19,31.473684210526315,8.028221716877129
sum,52,9,5.777777777777778,2.951610977710052
but,79,14,5.642857142857143,5.043495762449231
defined,17,6,2.8333333333333335,1.7486677593322508
selection,69,11,6.2727272727272725,3.7636614227466896
provided,34,8,4.25,2.5649546849368043
time,90,11,8.181818181818182,3.7245203015289112
been,58,12,4.833333333333333,4.234628007000348
systems,17,6,2.8333333333333335,1.7486677593322508
8,75,13,5.769230769230769,4.6163952190336275
14,46,13,3.5384615384615383,4.725839384232604
30,75,10,7.5,3.334278486172846
31,24,8,3.0,2.6031401720159586
problem,84,13,6.461538461538462,4.588688472979279
current,27,6,4.5,1.7337555192974885
methods,78,15,5.2,5.489006836861792
assume,25,11,2.272727272727273,3.934273541186202
available,73,16,4.5625,5.950410644176648
before,29,10,2.9,3.468829667952046
result,50,12,4.166666666666667,4.265250941343207
easily,14,7,2.0,2.2135290804982004
new,79,11,7.181818181818182,3.741481447589383
more,188,19,9.894736842105264,6.975272319512911
29,37,9,4.111111111111111,2.991250274641267
work,72,11,6.545454545454546,3.7563378105822904
dynamic,25,3,8.333333333333334,1.4543941556711901
manner,19,5,3.8,1.3177038226776527
study,222,17,13.058823529411764,6.083365117235496
there,115,15,7.666666666666667,5.377162802732268
allocates,7,1,7.0,1.3643281590068304
among,77,12,6.416666666666667,4.173731412206062
different,203,16,12.6875,5.674148576688634
minimizes,8,6,1.3333333333333333,1.8150128756359525
actual,15,5,3.0,1.316933120314868
while,61,12,5.083333333333333,4.22389554629836
these,150,16,9.375,5.735444248029973
steps,25,7,3.5714285714285716,2.1575882153083277
ple,11,6,1.8333333333333333,1.7875941634100148
done,31,10,3.1,3.4592578008400032
far,24,6,4.0,1.7315286670834846
do,50,14,3.5714285714285716,5.1532040353258335
them,34,10,3.4,3.4455060935456014
well,47,13,3.6153846153846154,4.7215678271127155
algorithms,63,6,10.5,2.1577778640883496
task,37,7,5.285714285714286,2.1431616926573387
maintaining,6,1,6.0,1.1154109190450063
stream,43,1,43.0,10.789380615720173
quality,21,3,7.0,1.1620097555575348
measured,14,4,3.5,0.9043754228817774
using,277,17,16.294117647058822,6.100600231421202
our,126,10,12.6,3.4048763205540977
uses,24,5,4.8,1.348555782610503
memory,54,2,27.0,6.16725534692533
practical,15,8,1.875,2.6539573180616016
upon,16,8,2.0,2.647568143136568
obtain,53,12,4.416666666666667,4.253428328123724
smallest,30,5,6.0,1.4262672619459456
possible,67,11,6.090909090909091,3.768860299802224
when,182,18,10.11111111111111,6.548842864841775
minibatch,33,1,33.0,8.159008638164078
multiple,34,9,3.7777777777777777,3.0026077422912807
seen,24,9,2.6666666666666665,3.0484473852543363
42,13,6,2.1666666666666665,1.7722115033939791
made,25,9,2.7777777777777777,3.043320581203494
respect,30,8,3.75,2.5778603789226726
improve,12,7,1.7142857142857142,2.227881070755732
increases,14,6,2.3333333333333335,1.7654126876339178
reduction,41,6,6.833333333333333,1.8182242714060823
based,165,17,9.705882352941176,6.1419564377639855
novel,11,6,1.8333333333333333,1.7875941634100148
desired,18,10,1.8,3.5271233491421827
target,26,5,5.2,1.3697841357504765
technique,48,8,6.0,2.5453181123448867
independent,28,10,2.8,3.473735826590056
interest,46,9,5.111111111111111,2.963996427172979
tasks,16,6,2.6666666666666665,1.7536346875965576
sliding,23,2,11.5,2.311069059168841
window,46,3,15.333333333333334,3.0587866895330187
most,49,12,4.083333333333333,4.2692814734120805
allowed,14,3,4.666666666666667,0.6960446875833781
allocations,50,4,12.5,2.322683287695695
known,64,14,4.571428571428571,5.097120756859237
36,12,7,1.7142857142857142,2.227881070755732
neyalloc,16,1,16.0,3.695272871609357
statistics,36,10,3.6,3.436746123477122
literature,25,6,4.166666666666667,1.7316307613026696
subset,18,5,3.6,1.3154926790036738
does,29,10,2.9,3.468829667952046
no,71,15,4.733333333333333,5.514257438778714
how,64,13,4.923076923076923,4.654339988723543
hence,32,10,3.2,3.4545927585971015
addition,23,6,3.8333333333333335,1.7320671502775518
evaluation,39,6,6.5,1.7990147321311438
detailed,20,7,2.857142857142857,2.1780916587770363
considering,13,8,1.625,2.6672787472915793
both,80,14,5.714285714285714,5.040163723812862
accuracy,132,8,16.5,3.1917077269196814
found,30,10,3.0,3.464003547704593
prior,19,4,4.75,0.9874103489474779
5,184,18,10.222222222222221,6.5458834753918325
100,130,12,10.833333333333334,4.096501759353994
b,215,13,16.53846153846154,4.547862183919053
range,29,5,5.8,1.4104754964035122
tion,31,8,3.875,2.5743349379150593
function,48,15,3.2,5.60600351533966
average,52,14,3.7142857142857144,5.144842752516166
c,276,16,17.25,5.710285110055603
related,22,10,2.2,3.504834378142861
reservoir,28,2,14.0,2.9329081486905686
considered,22,9,2.4444444444444446,3.0590559080741744
25,57,10,5.7,3.365075675621288
or,306,19,16.105263157894736,6.9412399553509
26,37,9,4.111111111111111,2.991250274641267
distributed,22,10,2.2,3.504834378142861
15,68,16,4.25,5.96923641865285
16,75,12,6.25,4.179341758304118
18,68,14,4.857142857142857,5.0821581957268895
40,48,11,4.363636363636363,3.830651073300935
online,23,6,3.8333333333333335,1.7320671502775518
weight,16,9,1.7777777777777777,3.0936757597367044
depends,22,9,2.4444444444444446,3.0590559080741744
even,40,11,3.6363636363636362,3.8632132103630585
after,60,12,5.0,4.2274271133056835
observed,33,5,6.6,1.4798272920723003
weighted,18,8,2.25,2.635339455942587
22,87,11,7.909090909090909,3.728366878935793
change,23,5,4.6,1.3398001733464862
35,36,7,5.142857142857143,2.142464414433525
et,169,8,21.125,3.763600468442534
al,68,9,7.555555555555555,2.9416426304215073
their,79,14,5.642857142857143,5.043495762449231
6,136,16,8.5,5.7637004740781
32,55,9,6.111111111111111,2.9471773064312545
machine,66,6,11.0,2.218852140183361
learning,149,7,21.285714285714285,3.7834851705841896
probability,41,8,5.125,2.5501296071667268
version,14,7,2.0,2.2135290804982004
weights,27,13,2.076923076923077,4.813470114367191
resulting,16,6,2.6666666666666665,1.7536346875965576
like,18,11,1.6363636363636365,3.9717422844832058
here,33,12,2.75,4.3397495914200865
assumed,12,6,2.0,1.7796078007700256
7,123,16,7.6875,5.794343325392252
2,763,20,38.15,9.472872362812838
being,37,11,3.3636363636363638,3.876394315539738
parts,14,5,2.8,1.3200996638193465
stratification,114,10,11.4,3.367524159346356
cation,18,7,2.5714285714285716,2.1886127100317236
applications,27,6,4.5,1.7337555192974885
usually,22,9,2.4444444444444446,3.0590559080741744
17,45,11,4.090909090909091,3.8424170089236585
works,24,7,3.4285714285714284,2.161018136855794
3,294,18,16.333333333333332,6.519706386062749
stratify,14,8,1.75,2.660527966493362
table,150,14,10.714285714285714,4.886263560282782
set,138,13,10.615384615384615,4.48834357827109
rows,46,3,15.333333333333334,3.0587866895330187
group,46,11,4.181818181818182,3.838435341683104
note,43,10,4.3,3.4086944676993607
performed,52,8,6.5,2.5470912895834688
budget,43,2,21.5,4.798800402013157
characteristics,59,6,9.833333333333334,2.081025506532241
once,13,6,2.1666666666666665,1.7722115033939791
final,24,6,4.0,1.7315286670834846
step,33,6,5.5,1.7553476245529538
assigned,14,6,2.3333333333333335,1.7654126876339178
uniformly,10,1,10.0,2.1318835993066867
pass,16,4,4.0,0.9285483174506097
determined,17,11,1.5454545454545454,3.9773120430218816
n,573,19,30.157894736842106,7.879509387969248
rstrata,9,1,9.0,1.8739755619519085
let,43,11,3.909090909090909,3.8505584836879634
without,39,14,2.7857142857142856,5.20123108951332
replacement,17,6,2.8333333333333335,1.7486677593322508
s1,44,3,14.666666666666666,2.9039902415946752
s2,64,8,8.0,2.572022238104344
sn,22,5,4.4,1.3323173322791781
denote,15,5,3.0,1.316933120314868
dom,17,4,4.25,0.9453141468208098
si,26,3,8.666666666666666,1.528797756427766
estimated,39,11,3.5454545454545454,3.867548686938902
shown,29,9,3.2222222222222223,3.0240102920092786
store,13,2,6.5,1.0682334471793369
question,22,9,2.4444444444444446,3.0590559080741744
split,124,8,15.5,3.084713994666865
minimize,35,7,5.0,2.142113183186786
follows,22,10,2.2,3.504834378142861
see,50,9,5.555555555555555,2.95521987907448
theorem,21,4,5.25,1.039731576275873
i,812,17,47.76470588235294,9.243209925625829
iσ2,10,1,10.0,2.1318835993066867
theory,37,7,5.285714285714286,2.1431616926573387
around,16,5,3.2,1.3151067363730369
types,27,12,2.25,4.369008882288475
including,16,9,1.7777777777777777,3.0936757597367044
across,24,9,2.6666666666666665,3.0484473852543363
section,70,10,7.0,3.339930936416989
studies,36,7,5.142857142857143,2.142464414433525
they,89,13,6.846153846153846,4.574616567108727
very,49,12,4.083333333333333,4.2692814734120805
volume,16,4,4.0,0.9285483174506097
true,30,9,3.3333333333333335,3.0194848219466026
especially,25,7,3.5714285714285716,2.1575882153083277
text,8,6,1.3333333333333333,1.8150128756359525
out,68,11,6.181818181818182,3.766229299622794
little,12,8,1.5,2.6742082962762694
say,21,8,2.625,2.6183895465988156
niσi,6,1,6.0,1.1154109190450063
bounded,18,2,9.0,1.6894074974933044
v,146,13,11.23076923076923,4.4833692231857185
general,27,8,3.375,2.589621373931668
whether,21,9,2.3333333333333335,3.0645363982331473
solution,55,9,6.111111111111111,2.9471773064312545
consists,18,11,1.6363636363636365,3.9717422844832058
achieved,43,8,5.375,2.5477284062115975
m,110,12,9.166666666666666,4.109231002714732
find,21,7,3.0,2.173323999807144
describe,16,4,4.0,0.9285483174506097
then,192,16,12.0,5.68085073314828
multielementssr,9,1,9.0,1.8739755619519085
now,59,10,5.9,3.3602332450890358
need,36,13,2.769230769230769,4.770444180279595
simple,113,16,7.0625,5.820758381497698
o,42,9,4.666666666666667,2.974835519693766
space,22,4,5.5,1.0692690726045957
constant,24,6,4.0,1.7315286670834846
end,14,6,2.3333333333333335,1.7654126876339178
rate,31,9,3.4444444444444446,3.0150813028256445
order,32,9,3.5555555555555554,3.0108002697333953
compared,41,9,4.555555555555555,2.977865020229023
clearly,16,6,2.6666666666666665,1.7536346875965576
either,20,11,1.8181818181818181,3.960764461235918
greater,24,9,2.6666666666666665,3.0484473852543363
proof,17,3,5.666666666666667,0.8842077194638219
construct,10,6,1.6666666666666667,1.7961627204265262
certain,32,10,3.2,3.4545927585971015
point,47,9,5.222222222222222,2.9616081366881333
single,33,10,3.3,3.4500087483580897
increasing,19,9,2.111111111111111,3.0758466960375985
value,134,16,8.375,5.768140351655108
will,143,17,8.411764705882353,6.1850100686233285
though,9,6,1.5,1.8053051819952584
limited,13,7,1.8571428571428572,2.220549668372045
total,171,17,10.058823529411764,6.132166328429346
least,11,6,1.8333333333333333,1.7875941634100148
next,18,9,2.0,3.0816752216258525
right,11,7,1.5714285714285714,2.235520229697045
thus,92,16,5.75,5.884116757478154
4,207,18,11.5,6.51816317702595
observe,20,6,3.3333333333333335,1.7375165661556542
fact,15,8,1.875,2.6539573180616016
n2,49,8,6.125,2.545452978912006
hand,16,6,2.6666666666666665,1.7536346875965576
know,23,9,2.5555555555555554,3.0536926974150895
whereas,15,8,1.875,2.6539573180616016
equally,9,6,1.5,1.8053051819952584
equal,67,13,5.153846153846154,4.643551659403844
equation,22,5,4.4,1.3323173322791781
up,25,10,2.5,3.488931128791239
factors,38,9,4.222222222222222,2.9877147086844595
always,15,6,2.5,1.7592182807292909
call,15,5,3.0,1.316933120314868
senate,17,1,17.0,3.9570952679550113
due,63,12,5.25,4.2169707488085795
resources,24,12,2.0,4.384202500891182
practice,16,8,2.0,2.647568143136568
good,24,12,2.0,4.384202500891182
properties,15,5,3.0,1.316933120314868
allocated,15,4,3.75,0.9148555446725114
making,11,8,1.375,2.6813152274307064
problems,26,10,2.6,3.483786900920807
variances,44,8,5.5,2.5468353700899584
previous,17,8,2.125,2.6413617586142877
approach,66,11,6.0,3.771554291182344
what,28,8,3.5,2.585504472457193
way,32,11,2.909090909090909,3.8995179600443097
reduce,26,11,2.3636363636363638,3.929140606066816
issue,22,6,3.6666666666666665,1.7332456138429237
decrease,27,3,9.0,1.6035795331900098
increase,59,12,4.916666666666667,4.231004639033489
simply,18,6,3.0,1.7443227637712917
according,42,10,4.2,3.4124510734897537
ones,9,7,1.2857142857142858,2.251709161942617
key,22,4,5.5,1.0692690726045957
drawn,54,10,5.4,3.372996349155757
keys,8,1,8.0,1.6177985932376384
strategy,38,6,6.333333333333333,1.790262339467854
instead,12,8,1.5,2.6742082962762694
until,12,7,1.7142857142857142,2.227881070755732
enough,22,9,2.4444444444444446,3.0590559080741744
variable,64,12,5.333333333333333,4.213577745675066
included,17,7,2.4285714285714284,2.19436137613984
di,34,8,4.25,2.5649546849368043
respectively,43,11,3.909090909090909,3.8505584836879634
0,123,14,8.785714285714286,4.926689594567507
sr,19,2,9.5,1.8137168446642986
e,119,14,8.5,4.934734604800614
d,64,12,5.333333333333333,4.213577745675066
independently,12,9,1.3333333333333333,3.1190320169440633
ni,56,7,8.0,2.2207576467795067
selected,318,14,22.714285714285715,5.180770418470365
process,42,12,3.5,4.298737361553525
vary,15,10,1.5,3.544640768269513
dev,38,6,6.333333333333333,1.790262339467854
assign,16,4,4.0,0.9285483174506097
sampled,22,6,3.6666666666666665,1.7332456138429237
